InvoiceNo,StockCode
565080,"[20677, 22128]"
565081,[21067]
565082,"[22423, '15060B', 23245]"
565083,"[22609, 22741, 23146, '72351A', '72351B', 22652, 22489, 22653, 23263, 21415, 22212]"
565084,"[23309, 22970, 22988, 22902, 22659, 22616]"
565086,[22625]
565087,"[23085, 85048, 22943, 22423, 22890, 37449, 23084]"
565088,"[23293, 23296, 23294, 23295, 23328, 16008, 22095, 22610, '84625C', 23187, '85123A', 23436, 23437, 23354, 22077, 23275, 23298, 23313, 22720, 22196, 21231, 21232, 20914, 22907]"
565090,"[72741, 21107]"
565091,"[23032, 23034, 23035, 22077, '85049E', 22076, 22676, 22677, 22681, 22685, 22680, 22943, 22457, 84946, 21668, 21670]"
565092,"[23293, 23296, 23084, 22966, 84380, '85123A', 84978, 21212, 22956, 23307, 23438, 21314, 22197, 22993, 22963, 23245, 22379, 21121]"
565093,"[23012, 23013, 23014, 22147, 22423, 84755]"
565114,"[21789, 22492, 22493, 22536, 22535, 22545, 22546, 23311, 22210, 22208, 22209, 16011, '51014L', 84077, 23445, 21830, 22619, 23355, 15034, 22567, 22998, 22093, 22410]"
565115,"[23018, 48138, 20685, 21955, 22690, 48129, 22687, 21745, 22197, 22412, 21172, 22481, 82552, 82551, 21179, 21028, 21027, 21621, 21830, 23017, 23169, 23012, 23013]"
565116,"[22086, 23144, 22867, 23439, 84945, 23355, 21485, 21479, 23356, 22112, '84030E', 23358, 23068, 21326, 84946, 23223, 23215, 23225, 22952, 23376, 22632, 22865, 22866, 23320, 85048, 23375, 23378]"
565117,"[48185, 22077, 20685, 22464, 22361, 84978, 82600, 47566, 23307, 23296, 23295, 23282, 23281, 23280, 23245, 23240, 23206, 23148, 23118, 23111, 23110, 23093, 23032, 23029, 23028, 23013, 22892, 22771, 22699, 22697, 22631, 22558, 22467, 22360, 22169, 22083, 21955, 21754, 21672, 21671, 21670, '15056N', 22365, 22151, 22772, 84946, '85099B', 22798, 23126, 22630, 20725, 22662, 23209, 22457, 22773, 84949, '85123A', '84406B', 22456, 23203, 82484, 23298, 84879, 22720, 22362, 21442, 22296, 20669, 21284]"
565118,"[22197, 22994, 22999, 22998, 23006, 22672, 22686, 22676, 22650, 22624, 22721, 22665, 20727, '47599B', '47599A', 23243, 21535, 22470, 22469, 21078, 22851, 22090, 21430, 21238, 21080, 20727, 47566, 22424, 22383, '84508A', 22662, 22384, 23207, 22366, 22414, 22365, 20685, '15056N', 23203, 23202, 23201, 22386, 22385, 22411]"
565119,"['85099B', 20727, 20726, 23209, 22382, 22383, 21498, 21495, 22045, 22711, 23549, '16161U', 23547, 23550, 22610, 23310, 21062, 21061, 21059, 22750, 20682]"
565120,"[22699, 22697, 22698]"
565121,"[21733, '85123A', 22470, 23329, 20685, 48138, 21535, 21533]"
565122,"[21975, 22417, 22951, 23307, 23309, 23308, 21976, 20677, 21242, 21244, 21243, 22120, 21754, 21755, 23343, 23344, 23313, 16259, 84568, 23323, 23322, 22470, 23185, 23263, 23328, 20676, 23005, 22998, 22327, 22326, 22328, '47590B', 22551, 82552, 82551, 21240, 21238, 23293]"
565123,['M']
565124,"[22965, 22720, 22668, 23298, '47590B', 47566, '47590A', 23308, 23309, 84992, 22417, 21975, 23234, 23247, 23243, 'POST']"
565125,"[23322, 23321, 23332, 21621, 47566, 23075, 22723]"
565126,"['90018A', 22424, 10133, 20984, '90183A']"
565127,[79321]
565128,"[21755, 22668, 22580, 21462, 20749, 22326, 22328, 22131]"
565129,"[20713, 23202, 21931, 22411, 23203, 23200, 22379, 20718, '85099B', '85099F', 21928, '85099C', 21930, 22385, 22386, 23201, 23199, 22456, 20685, 21523, 48187, 82484, 22383, 23208, 23118, 23092, 22382, 20727, 22896, 23298, 23207, 22384, 20725, 20723, 22355, 20724, 23191, 23196, 23197, '84536A', '84536B', '84535B', 10133, 20979, 20977, 20974, 22993, 22980, 22666, 22667, 22554, 22553, 22551, 22556, 22555, 21908, 82600, 82567, 82582, 21174, 82483, 22508, 21411, 23236, 84836, 23209, 82486, 21430, 23243, 21975, 22417, 23307, 21212, 21213, 37413, 21993, 21990, '85123A', 23206, '82494L', 22766, 82482, 21080, 22908, 22907, 22613, '85183B']"
565133,"[23293, 23295, 23322, 23321, 22384, 23209, 22383, 23298, 47566, '85123A', 22197, 23118, 21986, 22508]"
565139,"[21086, 22083, 22090, '47590B']"
565141,"[21523, 21669, 23171, 23170, 22999, 22998, 22991, 22750, 22771, 22992, '47563A', 23298, 22978, 21381, 22429, 82578, 82580, 21668, 21672, 22775, 21669, 23035, 22677, 22679, 84792, 22869, 23204, 21976, 23209, 20726, 22384, 20725, 20726, 22381, 21439, 20726, 20725, 23207, 22475, 20711, 23199, 23206, 21155, 22896, 22326, 21784, 22851, 21559, 23148, '72801G', 22245, 22041, 21260, 22254, 22255, 47421, '85199S', 21975, 22309, 22219, '84971S', 22457, 21976, 21154, 21927, 22621, 23191, 85038, 22173, 22134, 22310, 22222, 22978, 22041, 21686, 21218, 21499, 21500, '46000U', '46000S', '46000M']"
565142,"[84947, 22791]"
565143,[20727]
565144,"[21930, 23201, 21931, '85099F', 22411, '85099C', 23203, 23202, 21928, 21929, 20712, '85099B']"
565145,"[22751, 21915, 22492, 23349, 23445, 22818, 23077, 22621]"
565146,[21891]
565147,"['47566B', 22549, 22550, 21891, 21704, 21791, 21912, 21790, 22457, '35471D', 20992, 23344, 23333, 23330, 23332, 23329]"
565149,"[16008, 20992, 20996, 21636, 21932, 21992, 22208, 22610, 37327, 84012, '85019B', 21641, 20984, 22211]"
