InvoiceNo,StockCode
536370,"[22728, 22727, 22726, 21724, 21883, 10002, 21791, 21035, 22326, 22629, 22659, 22631, 22661, 21731, 22900, 21913, 22540, 22544, 22492, 'POST']"
536852,"[22549, 22544, 22539, 22661, 21791, 21786, 'POST']"
536974,"['15056BL', '15056P', 20679, 21915, 22659, 22352, 22892, 22027, 20749, 20750, 21700, 22748, 22080, 20725, 20726, 'POST']"
537065,"[22837, 22846, 22892, 22968, 84678, 20665, 21786, 21787, 20750, 20749, 21774, 21121, 21439, 47566, 22727, 22726, 22728, 22729, 22243, 22467, 22318, 21195, 20725, 20726, 20728, 21559, 22326, 22352, 21555, 21533, 21539, 22423, '84997A', '84997B', '84997C', '84279P', 22634, 22635, 22636, 22180, 21980, 21981, 21982, 22614, 22615, '84870B', '84870C', 22554, 22551, 16238, 85227, 22632, 21829, 21556, 22644, 22390, 22483, 21054, 21055, 21892, 22619, '84963A', 'POST']"
537463,"[22961, 21224, 22326, 21124, 21121, 21137, 22041, 22037, 22027, 21506, 21064, 21238, 22191, 22352, 21559, 22181, 21700, 20719, 21680, 22554, 21212, 22312, 22313, 22301, 22300, 22894, 22365, 20682, 20681, 84692, 22467, 22413, 22892, 22908, 22348, 21719, 21721, 21544, 22895, 21731, 'POST']"
537468,"[22114, 21485, 22837, 22113, 22111, 22110, 22558, 22749, 22750, 22272, 20725, 22383, 22382, 22418, 22745, 22748, 22747, 22531, 'POST', 22654]"
537693,"[22710, 22052, 22051, 22910, 22086, 22742, 22744, 37495, '47566B', '85049A', 'POST']"
537897,"['POST', 22601, 22661, 22255, 21731, 22752, '84029E', 21481, 22454, 22558, 22974, 20685, 22495]"
537967,"[21843, 22667, 'POST']"
538008,"[22331, 22907, 22908, 22909, 20972, 22938, '47599A', '47599B', 22704, 22894, 22895, 22897, 22898, 22705, 22636, 22630, 22899, 22333, '84997D', 22352, 21559, 22859, 22951, 84992, 21086, 21094, 21154, 21843, 22435, 22437, 22972, 22973, 22974, 22975, 22976, 22977, 21121, 21123, 21124, 21122, 'POST']"
538093,"[22736, 22738, 20679, '15056BL', 22077, 21731, 21791, 22620, 22551, 22556, 22386, 22385, 20725, 20726, 22383, 22382, 21559, 21558, 22961, 21452, '85232D', 20749, 20750, 22554, 21700, 22197, 22319, 22321, 22909, 22948, 10002, 22082, 'POST']"
538196,"['POST', 84879, 10002, 20725, 22549, 21889, 22560, 21915, 21914, 22558, 21527, 21533, 21507, 20682, 48138, 20685]"
