SLNO,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
13,2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,INFRA,Noida,34,0
15,2156236,Yes,14,30,E2,50,287.5,158.33,No,No,Male,Agency,7,INFRA,Noida,29,0
16,2158703,No,44,75,E2,45.45,60,10,No,No,Male,Direct,8,INFRA,Noida,34,0
17,2161257,No,7,30,E3,53.85,50,-2.5,No,No,Male,Employee Referral,5,INFRA,Noida,34,0
19,2166041,Yes,98,30,E2,50,165.36,76.91,No,No,Male,Agency,8,INFRA,Noida,36,0
28,2205244,No,16,60,E1,41.18,0,-29.17,No,No,Male,Direct,7,AXON,Noida,31,0
31,2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,BFSI,Chennai,34,0
38,2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,ERS,Hyderabad,23,0
39,2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,INFRA,Chennai,29,0
47,2227339,Yes,46,30,E3,22.22,260,194.55,No,No,Male,Employee Referral,13,ERS,Chennai,36,0
53,2238751,Yes,54,60,E3,35,31,-2.96,No,No,Male,Employee Referral,9,INFRA,Noida,34,0
54,2238809,No,33,75,E3,31.82,31.82,0,No,No,Male,Employee Referral,7,INFRA,Noida,20,0
56,2245529,Yes,1,30,E2,62.5,12.5,-30.77,No,No,Female,Employee Referral,3,INFRA,Noida,30,0
65,2286200,Yes,5,120,E1,42.86,0,-30,No,No,Male,Direct,5,AXON,Noida,28,0
71,2287263,Yes,69,75,E2,57.14,46.43,-6.82,No,No,Male,Employee Referral,6,ETS,Bangalore,29,0
76,2322849,Yes,19,60,E2,50,30.5,-13,No,No,Male,Agency,10,ERS,Chennai,33,0
84,2344484,No,126,30,E1,67.6,74.58,4.17,No,No,Male,Agency,5,ERS,Chennai,27,0
98,2361174,Yes,106,90,E2,38.89,27.31,-8.33,No,No,Male,Direct,7,BFSI,Bangalore,31,0
102,2365129,No,4,30,E1,42.86,42.86,0,No,No,Male,Direct,2,INFRA,Cochin,24,0
115,2382818,Yes,20,30,E2,25.45,12.01,-10.71,No,No,Male,Agency,7,EAS,Chennai,41,0
118,2400028,Yes,20,30,E2,157.94,158.93,0.38,No,No,Male,Agency,11,ERS,Chennai,32,0
131,2440753,Yes,37,30,E2,62.5,37.5,-15.38,No,No,Male,Direct,6,ETS,Hyderabad,29,0
133,2441279,No,2,60,E2,32.53,19.28,-10,No,No,Male,Employee Referral,6,BFSI,Bangalore,31,0
135,2444384,Yes,43,60,E1,37.25,33.33,-2.86,No,No,Male,Direct,3,EAS,Chennai,25,0
136,2444496,Yes,60,60,E2,38.89,11.11,-20,No,No,Male,Direct,6,ETS,Bangalore,31,0
147,2464247,No,7,30,E2,28.3,28.3,0,No,No,Male,Agency,7,INFRA,Chennai,29,0
154,2474728,Yes,45,60,E2,25,18.75,-5,No,No,Male,Direct,7,BFSI,Bangalore,35,0
161,2479005,Yes,36,30,E1,133.33,75,-25,No,No,Female,Agency,3,ERS,Chennai,27,0
167,2537986,Yes,21,30,E3,25,31.25,5,No,No,Female,Employee Referral,16,INFRA,Kolkata,40,0
188,2593939,No,15,45,E1,65.96,61.49,-2.69,No,No,Male,Direct,4,ERS,Chennai,26,0
197,2609287,No,19,60,E3,-31.82,-9.09,33.33,No,No,Male,Direct,10,ERS,Bangalore,33,0
198,2613516,No,3,30,E2,16.13,-15.81,-27.5,No,No,Female,Employee Referral,9,ERS,Bangalore,33,0
200,2615966,No,11,30,E1,-29.2,-29.2,0,No,No,Female,Employee Referral,3,CSMP,Hyderabad,26,0
213,2780669,Yes,29,60,E3,33.33,266.67,175,No,No,Male,Agency,9,ERS,Noida,32,0
222,2795222,Yes,7,30,E2,-24.6,-24.6,0,No,No,Male,Direct,5,BFSI,Chennai,31,0
246,2846059,No,39,45,E3,33.33,236.67,152.5,No,No,Male,Agency,9,ERS,Hyderabad,32,0
255,2861873,No,0,30,E2,-36.36,-36.36,0,No,No,Male,Direct,9,AXON,Chennai,32,0
256,2861938,Yes,3,60,E3,35,45,7.41,No,No,Male,Direct,8,INFRA,Pune,30,0
262,2926304,No,4,45,E2,41.03,21.79,-13.64,No,No,Male,Direct,7,BFSI,Bangalore,34,0
263,2930426,Yes,5,45,E1,-25,-43.75,-25,Yes,No,Male,Direct,2,ERS,Chennai,27,0
271,3034334,Yes,37,30,E1,180.9,124.72,-20,No,No,Female,Agency,3,ERS,Chennai,26,0
274,3034980,No,0,30,E2,36.36,60,17.33,No,No,Male,Direct,6,INFRA,Bangalore,32,0
284,3120254,Yes,39,90,E2,46.24,46.24,0,No,No,Male,Agency,6,ERS,Chennai,37,0
300,3225955,Yes,62,30,E1,40.68,34.69,-4.26,No,No,Male,Employee Referral,4,ERS,Chennai,27,0
307,3234247,No,17,60,E3,57.14,257.14,127.27,No,No,Male,Direct,8,INFRA,Bangalore,35,0
317,3250029,Yes,1,30,E1,-35.45,-7.79,42.86,No,No,Male,Agency,3,ERS,Chennai,26,0
